Museum Type,City (Administrative Location)
HISTORY MUSEUM,ANCHORAGE
"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",ANCHORAGE
SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,KENAI
HISTORIC PRESERVATION,KENAI
HISTORY MUSEUM,ANCHORAGE
HISTORIC PRESERVATION,ANCHORAGE
GENERAL MUSEUM,ANCHORAGE
HISTORIC PRESERVATION,DOUGLAS
GENERAL MUSEUM,ANCHORAGE
HISTORY MUSEUM,FAIRBANKS
HISTORIC PRESERVATION,FORT RICHARDSON
GENERAL MUSEUM,ANCHORAGE
"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",SEWARD
GENERAL MUSEUM,ANCHORAGE
GENERAL MUSEUM,JUNEAU
GENERAL MUSEUM,ANCHORAGE
GENERAL MUSEUM,ANCHORAGE
HISTORY MUSEUM,ANCHORAGE
"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",GIRDWOOD
"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",ANCHORAGE
GENERAL MUSEUM,FAIRBANKS
HISTORIC PRESERVATION,SUTTON
HISTORIC PRESERVATION,ANCHORAGE
GENERAL MUSEUM,KODIAK
GENERAL MUSEUM,SOLDOTNA
ART MUSEUM,ANCHORAGE
HISTORIC PRESERVATION,ANCHORAGE
HISTORIC PRESERVATION,ANCHORAGE
GENERAL MUSEUM,ANCHORAGE
ART MUSEUM,ANCHORAGE
HISTORIC PRESERVATION,KODIAK
HISTORIC PRESERVATION,NAKNEK
ART MUSEUM,HOMER
HISTORIC PRESERVATION,SITKA
HISTORIC PRESERVATION,CORDOVA
ART MUSEUM,ANCHORAGE
"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",HOMER
CHILDREN'S MUSEUM,ANCHORAGE
HISTORIC PRESERVATION,HAINES
HISTORIC PRESERVATION,HAINES
HISTORIC PRESERVATION,CHUGIAK
HISTORIC PRESERVATION,CENTRAL
GENERAL MUSEUM,JUNEAU
HISTORY MUSEUM,PETERSBURG
GENERAL MUSEUM,PALMER
HISTORIC PRESERVATION,COPPER CENTER
HISTORIC PRESERVATION,CORDOVA
HISTORIC PRESERVATION,DENALI PARK
GENERAL MUSEUM,FAIRBANKS
GENERAL MUSEUM,WASILLA
HISTORIC PRESERVATION,EAGLE CITY
HISTORIC PRESERVATION,EAGLE
"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",EAGLE RIVER
CHILDREN'S MUSEUM,FAIRBANKS
HISTORY MUSEUM,FAIRBANKS
GENERAL MUSEUM,FAIRBANKS
GENERAL MUSEUM,FAIRBANKS
ART MUSEUM,ANCHORAGE
HISTORIC PRESERVATION,JUNEAU
HISTORIC PRESERVATION,FAIRBANKS
"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",FAIRBANKS
HISTORIC PRESERVATION,GUSTAVUS
HISTORIC PRESERVATION,EAGLE RIVER
HISTORIC PRESERVATION,JUNEAU
